ACC,model_ID
0.9397,7d6b129d7f85a0cf7543cd8573269ae0
0.9203,c1579c748aa05b7c01dde63362f8f1e2
0.9204,d2283d09084bcb91fce646cfb43f9690
0.9324,fc0d20ed4fcd676a328dacd71d5cf60c
0.6722,4ee591b5cb17ed4fa2f332ad7998b950
0.6739,cceb7a7795cc60c06fcf686110b07ee4
0.6951,def026ac76b696bfc9aea433d9a1e581
0.9022642,6980a7661aa7129e50550408000fa143
0.9053,19df07e2ad30532f5143974ec555db82
0.8994,3067cfb5d81c84c8bb60176c9de06d3d
0.9042,442a06bdb7f7ca926f350241ffa1d866
0.8987,4e48f327ad968786f912baa370f469e6
0.9015,566a24ba0e74b4a1d62748e5296cc61b
0.8933,b39d771db3ac1058d3bc7de57f97d78d
0.877,bd6ef888d96fc904b3147adc3a1b4dc2
0.9002,c3ea73f581864ec5d6cda2ea28194647
0.9037,d26a63f0cfe8e650be3df124396dde29
0.9007,f8b44110ff8358e71e3bbdaef2526f36
0.9082,3ad72ea5bd76d3b45ffd456aa5dcf17a
0.9015,566a24ba0e74b4a1d62748e5296cc61b
0.9007,f8b44110ff8358e71e3bbdaef2526f36
0.9927,026fbd7ebdee40e74ab7993231bdfeee
0.9927,08048b48d78cc05fa7444c6f69da1393
0.9927,0f416f89258de5a0f4945eb8979fe533
0.9927,1fa946cb34beca9f85d58bbd3c4a23eb
0.9927,217f9ced370bc9163b8d50118b911cf1
0.9978129,329e26fc4ac7088ca02526dd5ab088ea
0.9927,444ba9284c6adba3028783216e79a967
0.9927,5afabfed38d286d9c9b55f09d503fb9e
0.9927,6a631ec3f8de09e3c8f6bbe8c3164a3a
0.9927,719cff0a54618bd5aa48cb4fbb26a8b8
0.9927,7e887a1f134ecfa0e2632ffb1169044d
0.9927,a7543cdebc3c00e848f7dd9d80d0ab2b
0.9927,e3fb4fd324d32fffb460764dee9d5895
0.9927,e7a9ce270d8247e28aa7cc346b3a39c7
0.9927,ea0110d8dd0b2174a5655a14d5d3ece7
0.9927,ec97b5296fb7a407343be99fdf1e3e06
0.8854,177fc14c22ba89ff2426fe40ad1a8c32
0.8596,1e272b2216101c23432a798ece55d329
0.8655,398e2c1adf55c3af542ad398385d233e
0.8556,5b8e66e8fd1ecf4020053a2af113c394
0.8537,943368e96b27dfa62ba668ffdeb067b1
0.8893,b67e683e3f892e00ee56abfbce053b69
0.8834,db1d88132af4dc3f2c6114a1495e1624
0.8715,f3923e49f21bead9883a62b9e3f55de6
0.7364,b629fee12bc484aede97f759d1767272
0.6931,f57702688fff5d79201a00efc0f81a4c
0.9556,0157a600fb3cbe615b2bc29b15d2c783
0.9566,0737cbd61e9ba725a34f3c616d664ea2
0.8578,1b51fa3d952b65c7632347033aff5000
0.9566,23cc982f8ccd5dbfa089e6ad46198c5d
0.9552,376bb276bbcd9256523368db879d778f
0.9546,3efc2cb3038b48ec412e6117555a100f
0.9552,40ba59355ff973b1e9b06ad39f720b8b
0.9552,4e785e70edbceb3baaabd444caa9cd5d
0.9566,52e9deee466af9444b18f038a162958a
0.8554,54a68b94136a14c9f76d733ff53ccad9
0.882,78f10f5935583e71f81bb60cf2273b03
0.9566,7aec5a585901fa0ed6f131b67696213f
0.854,a12cd1320d72e7b4ec0b9094bc9a7304
0.9556,a2024e086b7136dac49e31f341d765c0
0.9556,a87821770a9d685bd79dcf0a6b21c7b4
0.9552,bc69e734f17db34a6aa14082d8fe8d9e
0.9566,c80e6ac0b360ef231656a195ca967096
0.9556,d9e73df343c4a48b5eb8385e4fe3d9af
0.9556,dee39150bf865162012e9569ef960c5e
0.9552,e3a068ebd2d8b4bbcf58b82ab51a8f7f
0.9556,e66535ace56194e9745faabac6bcf089
0.8948,fb1de61cfc264387165ac6534d48d3b5
0.742,0f66850a017e64303e1854bcda3d26c7
0.756,2baec6ed747ea14b697664f0d7dfb380
0.746,3bece361c041162246b35a6e487c48cb
0.751,3d8ff7099ef9bf03a1375a427b7b984c
0.744,40e0cd2e72474a5c60fb2e3c5a7dcb19
0.735,4e3738daaccd5451e60031cd99ed9430
0.746,561cf16583c76962a5d9cea1256a33cf
0.748,67a44563b60e6134c6685c6d6950171e
0.748,6a52bf0962ba725f86c14be318d98396
0.744,90cc3cfab81c72a3f18f8af273b720f5
0.755,9e9619ec2b07855e26a0e3cf980bf60d
0.742,a7692edc25ec5675db6e5a844480290f
0.743,c96384def4947fd42df6549c738cb25a
0.748,daf148953fd6d5f148412bc353b35028
0.753,db1814c4178aa2d2eda18118db291c72
0.743,db9cf99f1e529cea4f31f5bc190ab8ea
0.745,dc0b02400709e4bcc71492435eed6c10
0.751,e9689a4ae30f74f000329679102a4be2
0.7578,0ddd3244e881e693cfbb0715286e3017
0.7513,2ecb5988c188c4a3b051ba7c220a3dd7
0.7565,54f0a51f1ac62c22dc0f75ef09d30cce
0.7772939,58e60ff18122fdf4ca84d143ee313e7b
0.7499,74724fe32e8452c13c9703348199d6e1
0.7605,75e556e26ffc96fc9b0982c26c081331
0.7655292,cbfae3e0a4a6bed24e4bd29253c1e4e9
0.7435,e0ee0b1940f7de050e0bc16816423d42
0.7724,0cc81b6c4da00a52a4b86878d2d2daa2
0.5755,421e8b6e6fe483bd25ecae50965390e4
0.5755,6771c76148d7cc333a47e3308cf3f5d3
0.5755,7431b12c15b896a519b7df39ee976447
0.7194,772f6cff8c181faf257cd87dfcb2576c
0.7594,78f72aa11057f1a64123d7abf84202b3
0.7664,90c96f4f2f113890c57b60f59063dd0a
0.7614,96196a1b207aa0c90ba0883819ea93cd
0.7365,989b40b0884c9cdf168ee895b6a8f924
0.5755,9e95a40ec32ac0cdced1c8c2632257b4
0.8950168,a83d5cf9f3c9dc688b8e1f64b2e92047
0.7969,d9fb356c33631d0320ddc984382949ad
0.7563,ee07250e13e706d151cc0e9ba86fe316
0.5755,f73bb6371f5945e2fd02a3f66d1ef77a
0.7556,fda644513c8a91b1e4040f3c170019de
0.7313957,f772426ae89e756924c9ad2d6eadcfc9
0.83,94bdc21c4a2263884a00dad198630db5
0.6962983,2e254a9fa09341ce4c29d4c9c83ca9d9
0.8260869565217391,2fe6b7bcfb66ce116dee141743eb2973
0.8260869565217391,4088aa9d0b579dc7dd6458022b57e7bb
0.8478260869565217,50ba59b8635b51e0543bc1498621b28d
0.8260869565217391,67aa3acc3a2de3438bcdcbe27d775343
0.8260869565217391,6cd6a3596554a3158a25bbe93672ba74
0.717391304347826,862efbf94a18ea18849fbc48b4599327
0.8260869565217391,88b28347405e3f2ee1e2afc33189668f
0.8260869565217391,8bd539964a98663b6661c6debef4576e
0.8260869565217391,ac1f79b3ae6de03dca5f36255004b95d
0.8260869565217391,c293f39f240aaef3bcfbfbb63db2d8ca
0.8478260869565217,cbb3670a6386dc50354f78a174073bde
0.8793,008612b3384d3600119532a6deb5732c
0.8793,4d3bc23e6075f284900238fec1f8fa35
0.8787,53ba24346665ed55c1861d9b60c4c82a
0.8521,555fa104e1ab80a7a258ae3014416067
0.8521,6e487ce3b7bd4626566de6095c556d18
0.8793,85fe9a9f1d08aeb2221ba475e055d822
0.8787,875c79dd0e653878dc4d65bb80f8e09b
0.852,8a0dbeeb470e1a366e8d286e623e2f9e
0.8787,8b50185d58590d645a799d5c0ac587e0
0.852,bd006d16febff81dfd19df338a5073ea
0.6217,34eae52a56f796b7c3dba2f14bf89718
0.582,d899d5862c965ec1560eadf80cb1c784
0.9937,7ca00d39e52391a73f0ca182165af572
0.7362,40e22174f89c1d7285010792f72008d5
0.6811594,e9ad52ac38aa4dedf92095b699914932
0.7131,100c0925ea05a59d848c3a0ddda2be18
0.7,31fbd307f48f5d2c85005c28414d833b
0.7582,5c5b4a920725a925bff83336a0cf95e3
0.7359,93bb3e94e5b58228ee86a4795bff986c
0.7693,9b915faa4923cd25704446385f45f7ef
0.7575,fc3fa2ed4be18d11d1ca875e2b171c7b
1,0492cd41e2ab015f4fdf38a8376cb1c6
1,1480189dbdf1c62d2eac0f0792005831
1,40bd12736c57e06e411875d661f98767
0.953,482dda2ee50b2f09e755f6b348d4e7bc
1,6538f003ef59d825369fe7252c10a929
0.9972,93ecd233c327c05d93110255f21c7f50
1,bb3c2a36be9f372e3cda370e13e305b3
1,c7c7158e83d0f29b5aa53b8e75558f0e
1,c898f64de5b9d9fabb965d4bd52f669a
1,fcfd0eedcfd80e3c8c7ec60501e050a8
0.6737,23edd8e94eeaebe53e66208026f9ccba
0.6716,4a704d41a624626b2722aeb6a17d057a
0.7218,6a2cec68e175ecba53cb5452f3e71a14
0.6863,6bd414bca8e26bafc9147dfdf39b3461
0.6653,8c265915d0576c35d4b18f4a95e35069
0.6883,91b4807de1566a99cc62d2bbe598d876
0.6528,9657979a216d2f42d49b6e6566f8187a
0.6465,9765bfc10b85589c0ffb44970becfeac
0.6716,a0b3774fa54f490d3d96f46efbebb252
0.6632,b8cb78ba9b85d0a7536a91f5e6ff3df3
0.6528,c723dcefe75191cad3b409799b130e02
0.726,cf4515545aeb192ec64596caa8cf7a9d
0.7218,e329f83eca9eaaec6161853d9e8e5713
0.726,e9977e8a6c524cb53c2a4bb287a1218f
0.6569,ee63b646cf2e746f1fd6b117d7c4de63
0.6549,f4dc518de2ac7dff45f18c7a961ace46
0.6548,fb2f13605dc168f4cbc92b08967f68b7
0.848,63d3bcf91aef8edf8102b83ba5e53138
0.856,c4867ef613cda9c0fb603c5c2f056d8a
0.7426,d4b3c164fc34d7d2518498bee95498c2
0.8404,137d4aa57c3fed54e30b6eb4f4a4bc74
0.8414,2a315cc263f0c43c7e9faef9987a3f13
0.841661,41c9e153488e3f4ce89c2b26d3a24c39
0.8395,966276d98912899965b895ec20646175
0.8418,b4ec418e23913c5e7b0302a721f5e7d9
0.8416,bbaf78099ea6880eeb8a15d7fdd85dfe
0.9187822,4854f305f42ae8beb4f19d3de2ba2d8e
0.9981229086754264,cf53a0d7d29ba8f2bf6fa06793d40400
0.8084,496ca04696bf50fa44859a0b39c0959f
0.7067,4db8669eb6b47e47708251a0fdb7ac17
0.7214,68c5f087d89fe636c7f4777133dce9a9
0.7259,781c996ac704df2b6f224416488c7d59
0.7067,be68fc34769e2eeaff4cc7de2c4f9a73
0.7309,c5a70a5d0738d07b461d6944fe597a2b
0.8904,147da89c2ea06175928b517c966f7594
