"","model","ntrees","mtry","nodesize","target"
"461","classif.randomForest",4550,"4","3",0.5871
"462","classif.cforest",5150,"3","2",0.6294
"463","classif.randomForestSRC",6650,"3","2",0.5935
"464","classif.randomForestSRC",7550,"2","3",0.6101
"465","classif.randomForest",50,"3","2",0.5774
"466","classif.randomForestSRC",9650,"3","2",0.5959
"467","classif.randomForest",9950,"1","3",0.5755
"468","classif.h2o.randomForest",700,"2","700",0.6075
"469","classif.cforest",4550,"2","2",0.635
"470","classif.randomForest",3050,"3","3",0.5846
"471","classif.randomForest",7850,"4","7",0.594
"472","classif.randomForest",9950,"1","1",0.5762
"473","classif.randomForestSRC",2150,"4","1",0.5926
"474","classif.randomForestSRC",7850,"1","2",0.6287
"475","classif.randomForest",1850,"2","3",0.5865
"476","classif.randomForestSRC",6350,"1","7",0.6266
"477","classif.randomForest",8750,"3","3",0.5843
"478","classif.randomForest",6350,"1","1",0.5825
"479","classif.randomForest",3950,"4","7",0.5927
"480","classif.randomForest",8450,"1","2",0.5757
"481","classif.randomForest",3050,"4","2",0.5739
"482","classif.randomForest",6350,"2","7",0.6024
"483","classif.randomForestSRC",8150,"2","3",0.6069
"484","classif.h2o.randomForest",5700,"1","5700",0.6173
"485","classif.cforest",950,"1","1",0.6229
"486","classif.randomForestSRC",4850,"4","7",0.5943
"487","classif.cforest",50,"2","1",0.618
"488","classif.randomForestSRC",6650,"2","7",0.6225
"489","classif.randomForestSRC",3950,"3","2",0.5963
"490","classif.randomForestSRC",5450,"1","1",0.6322
"491","classif.cforest",650,"3","1",0.6294
"492","classif.cforest",6050,"3","1",0.6312
"493","classif.randomForest",5150,"1","2",0.5833
"494","classif.randomForest",9650,"1","1",0.5772
"495","classif.randomForest",3350,"1","3",0.5916
"496","classif.randomForestSRC",4850,"1","1",0.6248
"497","classif.randomForest",6650,"1","2",0.5844
"498","classif.randomForestSRC",50,"1","7",0.6277
"499","classif.cforest",7250,"1","1",0.6263
"500","classif.randomForest",2150,"4","3",0.5718
"501","classif.cforest",1850,"1","2",0.6263
"502","classif.randomForest",8450,"4","2",0.5754
"503","classif.randomForest",8450,"3","1",0.5749
"504","classif.randomForestSRC",5150,"4","2",0.588
"505","classif.randomForest",6950,"3","2",0.5842
"506","classif.randomForest",5450,"4","1",0.5783
"507","classif.cforest",4250,"3","2",0.6288
"508","classif.randomForestSRC",650,"1","7",0.6325
"509","classif.randomForest",5450,"1","7",0.5948
"510","classif.randomForest",8750,"3","7",0.6044
"511","classif.cforest",9350,"1","2",0.6279
"512","classif.randomForest",7250,"3","2",0.5853
"513","classif.randomForest",1250,"1","3",0.5949
"514","classif.randomForest",950,"2","3",0.5938
"515","classif.randomForest",4550,"3","2",0.5794
"516","classif.randomForest",4550,"3","1",0.5686
"517","classif.randomForestSRC",6650,"3","3",0.5992
"518","classif.cforest",7550,"2","1",0.6303
"519","classif.randomForestSRC",8150,"1","7",0.6271
"520","classif.randomForest",3650,"3","2",0.5782
"521","classif.randomForestSRC",1850,"4","1",0.5871
"522","classif.cforest",3950,"2","2",0.6344
"523","classif.randomForestSRC",50,"2","2",0.5774
"524","classif.randomForest",2150,"3","2",0.5784
"525","classif.randomForest",2450,"4","7",0.5923
"526","classif.randomForest",8450,"3","7",0.6029
"527","classif.randomForest",1550,"2","3",0.5878
"528","classif.randomForestSRC",6950,"4","7",0.5975
"529","classif.cforest",650,"1","2",0.6279
"530","classif.cforest",4250,"4","1",0.6223
"531","classif.randomForest",7250,"2","2",0.5932
"532","classif.cforest",5450,"3","1",0.6296
"533","classif.randomForestSRC",6950,"1","3",0.6307
"534","classif.randomForestSRC",4250,"3","1",0.5918
"535","classif.cforest",50,"3","2",0.6407
"536","classif.randomForestSRC",2150,"1","2",0.6259
"537","classif.randomForest",3350,"3","1",0.5683
"538","classif.cforest",3050,"1","1",0.6251
"539","classif.randomForest",2150,"2","2",0.6047
"540","classif.randomForest",8150,"4","2",0.5738
"541","classif.randomForest",2750,"3","1",0.57
"542","classif.randomForestSRC",6050,"3","7",0.6073
"543","classif.cforest",1850,"2","1",0.6314
"544","classif.h2o.randomForest",4700,"1","4700",0.6175
"545","classif.randomForest",650,"1","7",0.5668
"546","classif.randomForest",3350,"4","2",0.5648
"547","classif.randomForest",9050,"3","2",0.5814
"548","classif.randomForestSRC",9050,"4","2",0.592
"549","classif.randomForestSRC",350,"2","3",0.604
"550","classif.h2o.randomForest",2200,"2","2200",0.5903
"551","classif.h2o.randomForest",6200,"1","6200",0.6172
"552","classif.randomForestSRC",9950,"1","2",0.6316
"553","classif.randomForest",950,"3","2",0.5713
"554","classif.randomForestSRC",9050,"3","7",0.6003
"555","classif.randomForestSRC",2450,"2","3",0.6047
"556","classif.h2o.randomForest",8200,"1","8200",0.6198
"557","classif.randomForestSRC",50,"4","7",0.599
"558","classif.randomForestSRC",1250,"2","7",0.624
"559","classif.randomForest",1250,"4","2",0.5666
"560","classif.randomForest",2450,"3","2",0.5801
"561","classif.randomForest",6050,"1","7",0.5929
"562","classif.cforest",1250,"2","2",0.6321
"563","classif.randomForestSRC",8150,"3","7",0.6011
"564","classif.randomForestSRC",5450,"3","1",0.5954
"565","classif.randomForest",7250,"1","3",0.5881
"566","classif.randomForestSRC",8750,"4","2",0.5876
"567","classif.randomForest",9050,"3","7",0.6037
"568","classif.randomForestSRC",5150,"1","2",0.6247
"569","classif.cforest",4550,"1","2",0.6276
"570","classif.randomForest",6650,"4","2",0.574
"571","classif.randomForest",2750,"3","3",0.5892
"572","classif.randomForestSRC",1250,"4","3",0.5959
"573","classif.cforest",5750,"3","1",0.633
"574","classif.randomForest",8150,"1","1",0.5783
"575","classif.randomForestSRC",8750,"3","3",0.5962
"576","classif.randomForest",1850,"4","2",0.5666
"577","classif.randomForestSRC",5750,"1","2",0.6271
"578","classif.randomForest",50,"2","2",0.5558
"579","classif.h2o.randomForest",5400,"2","5400",0.6106
"580","classif.randomForest",2150,"1","3",0.5915
"581","classif.randomForest",8150,"3","1",0.572
"582","classif.randomForest",8150,"1","7",0.5925
"583","classif.randomForest",5450,"2","2",0.5883
"584","classif.randomForestSRC",4550,"1","3",0.6289
"585","classif.cforest",4250,"2","2",0.6356
"586","classif.randomForestSRC",3950,"4","7",0.5959
"587","classif.h2o.randomForest",4000,"2","4000",0.6094
"588","classif.randomForest",9050,"1","7",0.5913
"589","classif.randomForest",650,"4","2",0.5597
"590","classif.cforest",2150,"3","2",0.6316
"591","classif.randomForest",1850,"3","7",0.6076
"592","classif.randomForestSRC",6050,"2","2",0.6014
"593","classif.cforest",3650,"2","2",0.6348
"594","classif.randomForest",50,"1","3",0.5966
"595","classif.randomForest",3050,"1","3",0.5952
"596","classif.randomForest",650,"4","3",0.574
"597","classif.randomForestSRC",3950,"2","7",0.6272
"598","classif.randomForestSRC",6050,"4","3",0.587
"599","classif.randomForest",5150,"3","7",0.603
"600","classif.randomForest",9350,"4","3",0.5874
"601","classif.cforest",2150,"2","2",0.634
"602","classif.randomForest",4250,"3","2",0.5778
"603","classif.randomForestSRC",1850,"1","7",0.6269
"604","classif.randomForestSRC",9950,"1","3",0.6307
"605","classif.randomForest",8150,"2","1",0.5891
"606","classif.randomForestSRC",1550,"2","3",0.6061
"607","classif.randomForestSRC",650,"1","2",0.6307
"608","classif.randomForestSRC",7850,"3","2",0.599
"609","classif.randomForestSRC",3050,"4","2",0.5921
"610","classif.randomForest",7550,"4","2",0.5725
"611","classif.randomForestSRC",7550,"2","1",0.6006
"612","classif.randomForest",5450,"4","7",0.5913
"613","classif.cforest",6350,"1","1",0.6246
"614","classif.randomForestSRC",1850,"4","2",0.5925
"615","classif.randomForest",6350,"3","1",0.5701
"616","classif.randomForestSRC",3650,"2","2",0.5999
"617","classif.randomForestSRC",9050,"3","2",0.5939
"618","classif.randomForestSRC",5450,"2","7",0.625
"619","classif.randomForest",7850,"3","3",0.5886
"620","classif.h2o.randomForest",3700,"2","3700",0.5952
"621","classif.randomForestSRC",7850,"2","1",0.5912
"622","classif.randomForest",9950,"4","7",0.5976
"623","classif.randomForestSRC",7250,"4","7",0.5976
"624","classif.randomForest",7850,"2","2",0.5881
"625","classif.randomForestSRC",4850,"3","7",0.6044
"626","classif.randomForestSRC",9350,"3","3",0.5979
"627","classif.randomForest",3650,"1","7",0.586
"628","classif.randomForest",7850,"1","3",0.5802
"629","classif.cforest",7850,"4","1",0.6235
"630","classif.randomForestSRC",5450,"1","3",0.6286
"631","classif.randomForestSRC",3650,"4","3",0.5975
"632","classif.randomForestSRC",2450,"3","3",0.5956
"633","classif.randomForest",9050,"3","3",0.5887
"634","classif.randomForest",9950,"4","1",0.5786
"635","classif.randomForestSRC",5450,"4","2",0.5884
"636","classif.randomForestSRC",6650,"2","3",0.6095
"637","classif.h2o.randomForest",8200,"2","8200",0.6073
"638","classif.randomForestSRC",7250,"1","3",0.6316
"639","classif.h2o.randomForest",4200,"2","4200",0.5998
"640","classif.randomForestSRC",5750,"2","2",0.602
"641","classif.randomForestSRC",2450,"2","7",0.622
"642","classif.randomForestSRC",5750,"4","2",0.5925
"643","classif.randomForestSRC",9650,"1","2",0.6389
"644","classif.cforest",7550,"3","1",0.6292
"645","classif.cforest",6950,"1","2",0.6251
"646","classif.randomForestSRC",2450,"1","2",0.6265
"647","classif.randomForest",350,"3","1",0.5756
"648","classif.cforest",9350,"2","2",0.6308
"649","classif.randomForestSRC",4550,"1","7",0.6202
"650","classif.randomForestSRC",1550,"3","2",0.5924
"651","classif.randomForest",7550,"2","1",0.5926
"652","classif.randomForestSRC",2750,"1","2",0.6263
"653","classif.cforest",7850,"2","1",0.6314
"654","classif.randomForest",9950,"2","3",0.5984
"655","classif.randomForestSRC",9050,"1","7",0.625
"656","classif.h2o.randomForest",4700,"2","4700",0.5963
"657","classif.randomForest",3350,"3","3",0.5818
"658","classif.randomForestSRC",9650,"1","3",0.6351
"659","classif.randomForest",7550,"3","3",0.5853
"660","classif.cforest",8150,"2","1",0.632
"661","classif.randomForestSRC",9950,"3","2",0.5953
"662","classif.randomForest",8750,"1","7",0.5949
"663","classif.randomForestSRC",1550,"1","3",0.6191
"664","classif.randomForestSRC",950,"4","3",0.5829
"665","classif.randomForestSRC",9950,"2","1",0.5954
"666","classif.randomForestSRC",6350,"4","1",0.5862
"667","classif.randomForest",1850,"3","2",0.5758
"668","classif.randomForest",9350,"3","7",0.6049
"669","classif.cforest",1550,"3","2",0.6272
"670","classif.randomForestSRC",3050,"2","2",0.6064
"671","classif.randomForestSRC",1550,"3","7",0.5996
"672","classif.cforest",350,"2","2",0.6226
"673","classif.randomForestSRC",7250,"4","1",0.5908
"674","classif.randomForestSRC",3050,"1","3",0.6273
"675","classif.randomForestSRC",2750,"2","3",0.6066
"676","classif.cforest",50,"2","2",0.618
"677","classif.randomForest",9650,"3","3",0.5877
"678","classif.randomForestSRC",9650,"2","1",0.5926
"679","classif.randomForest",50,"1","7",0.5818
"680","classif.randomForest",9950,"2","1",0.5947
"681","classif.randomForestSRC",9650,"4","3",0.5935
"682","classif.randomForestSRC",3050,"1","1",0.6221
"683","classif.randomForest",6950,"1","2",0.577
"684","classif.randomForest",2750,"2","3",0.5975
"685","classif.randomForestSRC",2150,"3","1",0.5922
"686","classif.randomForest",8750,"2","7",0.6022
"687","classif.randomForest",50,"4","3",0.5665
"688","classif.randomForestSRC",350,"4","2",0.5974
"689","classif.cforest",5150,"4","1",0.6223
"690","classif.randomForestSRC",5150,"1","1",0.6256
"691","classif.cforest",5750,"1","1",0.6252
"692","classif.randomForest",8150,"4","7",0.5929
"693","classif.cforest",6950,"1","1",0.6251
"694","classif.randomForest",5450,"1","3",0.5855
"695","classif.randomForest",50,"2","1",0.5729
"696","classif.randomForest",2150,"2","7",0.5898
"697","classif.cforest",9650,"4","1",0.6235
"698","classif.randomForest",6050,"4","2",0.5722
"699","classif.randomForest",1250,"2","3",0.5916
"700","classif.cforest",4250,"2","1",0.6356
"701","classif.randomForest",3050,"4","7",0.5938
"702","classif.randomForestSRC",350,"4","3",0.5816
"703","classif.h2o.randomForest",50,"1","50",0.6197
"704","classif.randomForest",350,"1","1",0.5898
"705","classif.randomForestSRC",2150,"4","3",0.5793
"706","classif.h2o.randomForest",6100,"2","6100",0.6057
"707","classif.randomForestSRC",2450,"1","7",0.6269
"708","classif.randomForestSRC",650,"2","3",0.6088
"709","classif.randomForestSRC",8150,"3","1",0.5958
"710","classif.cforest",5150,"1","1",0.6263
"711","classif.randomForest",950,"4","3",0.574
"712","classif.randomForestSRC",7250,"3","2",0.5886
"713","classif.randomForest",6050,"2","2",0.602
"714","classif.cforest",5750,"2","1",0.6314
"715","classif.h2o.randomForest",7500,"2","7500",0.6056
"716","classif.cforest",1850,"3","1",0.6324
"717","classif.cforest",5750,"4","1",0.6235
"718","classif.randomForest",350,"1","7",0.5938
"719","classif.randomForestSRC",5450,"3","3",0.5969
"720","classif.randomForestSRC",3950,"3","7",0.6009
"721","classif.cforest",8150,"1","2",0.6258
"722","classif.randomForest",5150,"3","2",0.5796
"723","classif.cforest",650,"3","2",0.6294
"724","classif.randomForest",50,"4","7",0.5193
"725","classif.randomForestSRC",8750,"3","7",0.6044
"726","classif.h2o.randomForest",7500,"2","7500",0.608
"727","classif.randomForest",3650,"3","7",0.5998
"728","classif.randomForest",1550,"2","7",0.598
"729","classif.randomForestSRC",7550,"3","7",0.6016
"730","classif.randomForestSRC",5750,"4","7",0.5958
"731","classif.randomForestSRC",5750,"2","1",0.6011
"732","classif.cforest",5750,"2","2",0.6314
"733","classif.h2o.randomForest",500,"2","500",0.6102
"734","classif.cforest",4250,"1","2",0.6265
"735","classif.randomForestSRC",6650,"4","2",0.5927
"736","classif.randomForestSRC",2750,"3","7",0.6036
"737","classif.randomForestSRC",3350,"1","7",0.6215
"738","classif.randomForestSRC",650,"3","3",0.6037
"739","classif.randomForest",650,"3","2",0.5853
"740","classif.randomForest",2450,"3","1",0.5648
"741","classif.h2o.randomForest",8900,"2","8900",0.5968
"742","classif.randomForestSRC",350,"1","1",0.6355
"743","classif.randomForest",7250,"1","1",0.579
"744","classif.h2o.randomForest",9700,"1","9700",0.6156
"745","classif.randomForest",6650,"2","1",0.5919
"746","classif.cforest",2750,"3","1",0.6291
"747","classif.randomForestSRC",2450,"4","1",0.5903
"748","classif.randomForest",7850,"1","1",0.5786
"749","classif.randomForest",3650,"4","7",0.5985
"750","classif.cforest",50,"3","1",0.6407
"751","classif.randomForestSRC",7550,"4","2",0.5911
"752","classif.randomForest",3350,"3","2",0.5861
"753","classif.randomForestSRC",8750,"4","1",0.5865
"754","classif.randomForestSRC",3950,"1","3",0.6275
"755","classif.randomForest",650,"3","7",0.5992
"756","classif.randomForestSRC",2150,"3","7",0.6034
"757","classif.randomForestSRC",6050,"4","7",0.5988
"758","classif.randomForestSRC",9650,"1","7",0.6261
"759","classif.cforest",5750,"1","2",0.6252
"760","classif.randomForestSRC",4250,"4","3",0.5924
"761","classif.randomForest",5750,"3","2",0.5829
"762","classif.randomForest",950,"3","1",0.5615
"763","classif.cforest",950,"3","1",0.6287
"764","classif.cforest",5150,"3","1",0.6294
"765","classif.randomForest",2150,"3","7",0.6061
"766","classif.randomForest",4250,"4","1",0.5713
"767","classif.cforest",950,"1","2",0.6229
"768","classif.cforest",9650,"2","2",0.6314
"769","classif.cforest",50,"1","1",0.6075
"770","classif.randomForestSRC",6350,"4","3",0.5931
"771","classif.randomForest",7250,"4","3",0.5813
"772","classif.randomForestSRC",4250,"2","1",0.5949
"773","classif.randomForest",8750,"4","2",0.5789
"774","classif.randomForest",6650,"4","7",0.5933
"775","classif.randomForest",5750,"3","3",0.5816
"776","classif.randomForest",950,"2","7",0.6058
"777","classif.randomForest",3350,"2","2",0.6011
"778","classif.randomForest",8750,"1","2",0.5737
"779","classif.randomForest",8450,"2","7",0.6062
"780","classif.randomForest",1850,"3","3",0.5836
"781","classif.randomForestSRC",5450,"2","3",0.6119
"782","classif.cforest",6650,"3","1",0.6294
"783","classif.randomForestSRC",950,"3","7",0.6041
"784","classif.randomForest",7250,"2","7",0.6037
"785","classif.randomForest",9650,"3","7",0.6026
"786","classif.randomForest",4250,"3","1",0.5729
"787","classif.randomForest",5150,"3","3",0.5859
"788","classif.cforest",6950,"2","2",0.6314
"789","classif.randomForest",6950,"2","3",0.5942
"790","classif.randomForestSRC",8450,"1","1",0.6299
"791","classif.h2o.randomForest",6100,"2","6100",0.5906
"792","classif.randomForest",650,"2","1",0.5991
"793","classif.randomForest",9650,"4","1",0.5779
"794","classif.randomForestSRC",3650,"2","3",0.6037
"795","classif.randomForest",2450,"3","3",0.5816
"796","classif.randomForestSRC",8750,"3","1",0.5932
"797","classif.h2o.randomForest",2700,"1","2700",0.6173
"798","classif.cforest",6350,"3","1",0.6318
"799","classif.randomForestSRC",2750,"4","1",0.5937
"800","classif.randomForestSRC",8150,"1","2",0.6283
"801","classif.randomForest",4850,"1","1",0.5747
"802","classif.randomForestSRC",3650,"2","7",0.6234
"803","classif.randomForestSRC",1550,"4","2",0.5865
"804","classif.randomForestSRC",6050,"1","2",0.6292
"805","classif.randomForest",6950,"2","2",0.5978
"806","classif.randomForestSRC",7550,"3","3",0.5959
"807","classif.cforest",2750,"3","2",0.6291
"808","classif.randomForestSRC",6650,"4","3",0.5976
"809","classif.randomForest",6050,"4","7",0.5945
"810","classif.randomForestSRC",9350,"1","1",0.6333
"811","classif.randomForestSRC",4850,"1","2",0.6305
"812","classif.cforest",5450,"1","1",0.6246
"813","classif.randomForestSRC",8450,"1","3",0.6301
"814","classif.h2o.randomForest",8200,"2","8200",0.5916
"815","classif.randomForestSRC",2150,"2","7",0.6197
"816","classif.randomForest",8450,"2","3",0.5932
"817","classif.randomForest",3050,"1","2",0.5837
"818","classif.randomForest",2750,"4","3",0.5812
"819","classif.randomForestSRC",5150,"3","1",0.5906
"820","classif.randomForest",1250,"3","1",0.5636
"821","classif.randomForestSRC",1250,"2","3",0.6089
"822","classif.randomForestSRC",8450,"2","3",0.6062
"823","classif.randomForest",2750,"1","1",0.5722
"824","classif.randomForestSRC",9650,"4","7",0.5977
"825","classif.randomForestSRC",7850,"3","7",0.6047
"826","classif.randomForest",3050,"1","7",0.5788
"827","classif.cforest",8750,"1","1",0.6263
"828","classif.randomForest",5450,"3","2",0.581
"829","classif.randomForestSRC",4850,"3","2",0.5954
"830","classif.h2o.randomForest",6800,"2","6800",0.605
"831","classif.randomForest",350,"1","3",0.5888
"832","classif.randomForestSRC",9650,"3","1",0.5807
"833","classif.randomForest",2750,"2","1",0.5896
"834","classif.randomForestSRC",5450,"3","7",0.6068
"835","classif.randomForestSRC",3050,"4","7",0.5979
"836","classif.randomForest",4850,"2","3",0.5965
"837","classif.randomForest",6050,"4","1",0.5719
"838","classif.randomForestSRC",8150,"3","2",0.5941
"839","classif.randomForestSRC",8750,"4","3",0.5893
"840","classif.randomForest",1250,"1","1",0.5894
"841","classif.randomForest",6650,"4","1",0.5793
"842","classif.cforest",2450,"2","1",0.6297
"843","classif.randomForestSRC",950,"3","2",0.5871
"844","classif.randomForestSRC",4250,"4","7",0.5977
"845","classif.randomForestSRC",4850,"1","3",0.6287
"846","classif.randomForestSRC",3950,"1","7",0.6242
"847","classif.randomForestSRC",4850,"4","1",0.5852
"848","classif.randomForestSRC",2450,"2","2",0.604
"849","classif.randomForestSRC",3650,"3","3",0.5929
"850","classif.cforest",8750,"3","1",0.6267
"851","classif.randomForestSRC",5150,"4","7",0.5957
"852","classif.cforest",4850,"3","1",0.6283
"853","classif.randomForest",4850,"4","3",0.5818
"854","classif.randomForest",9050,"4","1",0.577
"855","classif.h2o.randomForest",6700,"1","6700",0.6258
"856","classif.randomForestSRC",9650,"2","2",0.6013
"857","classif.randomForestSRC",9950,"4","3",0.5927
"858","classif.randomForestSRC",6350,"1","1",0.6296
"859","classif.cforest",5450,"1","2",0.6246
"860","classif.randomForestSRC",350,"1","3",0.6305
"861","classif.cforest",8750,"2","2",0.6314
"862","classif.randomForest",5450,"4","2",0.5789
"863","classif.randomForestSRC",3350,"1","3",0.6316
"864","classif.randomForest",50,"4","1",0.5402
"865","classif.cforest",6350,"2","2",0.6303
"866","classif.randomForestSRC",9050,"2","3",0.6072
"867","classif.randomForest",3650,"1","1",0.5748
"868","classif.randomForest",9350,"1","1",0.5755
"869","classif.randomForestSRC",6050,"2","1",0.5969
"870","classif.randomForest",5450,"3","3",0.5892
"871","classif.cforest",2750,"4","1",0.6216
"872","classif.cforest",3350,"3","2",0.6318
"873","classif.cforest",5150,"2","2",0.6336
"874","classif.randomForest",9950,"4","3",0.5805
"875","classif.randomForest",8750,"4","7",0.5948
"876","classif.randomForestSRC",6050,"3","3",0.5921
"877","classif.randomForest",1850,"4","3",0.5737
"878","classif.randomForestSRC",9950,"1","1",0.627
"879","classif.cforest",1850,"3","2",0.6324
"880","classif.randomForestSRC",2150,"4","2",0.591
"881","classif.randomForest",650,"4","7",0.5914
"882","classif.randomForest",3650,"3","3",0.5829
"883","classif.randomForest",4550,"2","1",0.6003
"884","classif.cforest",3950,"2","1",0.6344
"885","classif.randomForest",1550,"3","7",0.6141
"886","classif.cforest",7850,"2","2",0.6314
"887","classif.cforest",4850,"1","2",0.6251
"888","classif.randomForest",9350,"3","3",0.589
"889","classif.randomForest",1250,"4","3",0.5706
"890","classif.randomForestSRC",5150,"4","1",0.5871
"891","classif.randomForest",4850,"3","2",0.5844
"892","classif.randomForest",8150,"2","3",0.5964
"893","classif.randomForest",4550,"2","2",0.5953
"894","classif.randomForest",1550,"1","7",0.5844
"895","classif.randomForest",3350,"1","2",0.5798
"896","classif.randomForest",950,"1","3",0.5692
"897","classif.randomForest",5150,"4","1",0.5745
"898","classif.randomForest",3350,"3","7",0.5982
"899","classif.randomForest",3350,"4","1",0.5787
"900","classif.randomForestSRC",4250,"2","7",0.6202
"901","classif.randomForest",5750,"1","7",0.5938
"902","classif.randomForestSRC",1550,"2","7",0.6244
"903","classif.randomForestSRC",350,"1","2",0.6338
"904","classif.cforest",8150,"3","1",0.6302
"905","classif.randomForestSRC",7850,"4","7",0.5943
"906","classif.randomForestSRC",8150,"4","7",0.5983
"907","classif.randomForestSRC",8450,"3","7",0.6071
"908","classif.randomForest",4550,"3","3",0.5891
"909","classif.randomForest",8750,"2","1",0.5885
"910","classif.randomForestSRC",5450,"4","3",0.591
"911","classif.randomForest",2150,"4","7",0.5869
"912","classif.randomForest",9350,"2","1",0.5903
"913","classif.randomForestSRC",8750,"4","7",0.5936
"914","classif.randomForest",5450,"1","2",0.589
"915","classif.cforest",6650,"2","1",0.6314
"916","classif.cforest",2150,"1","2",0.6274
"917","classif.randomForestSRC",4250,"4","2",0.5849
"918","classif.cforest",8450,"1","1",0.6256
"919","classif.randomForestSRC",50,"4","2",0.6562
"920","classif.randomForest",50,"3","1",0.5099
